1;1;24173299;1450397999537;1450397999634;97
1;1;24173299;1450397998534;1450397998624;90
1;1;24173299;1450397997529;1450397997982;453
1;1;24173300;1450398059786;1450398059881;95
1;1;24173300;1450398058783;1450398058891;108
1;1;24173300;1450398057779;1450398057867;88
1;1;24173300;1450398056774;1450398056883;109
1;1;24173300;1450398055770;1450398055851;81
1;1;24173300;1450398054766;1450398054869;103
1;1;24173300;1450398053764;1450398053847;83
1;1;24173300;1450398052760;1450398052853;93
1;1;24173300;1450398051756;1450398051856;100
1;1;24173300;1450398050752;1450398050839;87
1;1;24173300;1450398049747;1450398049836;89
1;1;24173300;1450398048744;1450398048841;97
1;1;24173300;1450398047739;1450398047836;97
1;1;24173300;1450398046735;1450398046826;91
1;1;24173300;1450398045730;1450398045837;107
1;1;24173300;1450398044726;1450398044830;104
1;1;24173300;1450398043721;1450398043831;110
1;1;24173300;1450398042716;1450398042821;105
1;1;24173300;1450398041711;1450398041798;87
1;1;24173300;1450398040706;1450398040807;101
1;1;24173300;1450398039702;1450398039794;92
1;1;24173300;1450398038698;1450398038794;96
1;1;24173300;1450398037695;1450398037790;95
1;1;24173300;1450398036690;1450398036783;93
1;1;24173300;1450398035685;1450398035779;94
1;1;24173300;1450398034681;1450398034788;107
1;1;24173300;1450398033677;1450398033766;89
1;1;24173300;1450398032673;1450398032769;96
1;1;24173300;1450398031668;1450398031772;104
1;1;24173300;1450398030665;1450398030753;88
1;1;24173300;1450398029661;1450398029748;87
1;1;24173300;1450398028657;1450398028769;112
1;1;24173300;1450398027653;1450398027756;103
1;1;24173300;1450398026648;1450398026750;102
1;1;24173300;1450398025644;1450398025745;101
1;1;24173300;1450398024641;1450398024741;100
1;1;24173300;1450398023636;1450398023749;113
1;1;24173300;1450398022632;1450398022732;100
1;1;24173300;1450398021627;1450398021720;93
1;1;24173300;1450398020622;1450398020739;117
1;1;24173300;1450398019620;1450398019733;113
1;1;24173300;1450398018616;1450398018717;101
1;1;24173300;1450398017612;1450398017704;92
1;1;24173300;1450398016607;1450398016714;107
1;1;24173300;1450398015603;1450398015710;107
1;1;24173300;1450398014598;1450398014709;111
1;1;24173300;1450398013593;1450398013677;84
1;1;24173300;1450398012588;1450398012700;112
1;1;24173300;1450398011583;1450398011685;102
1;1;24173300;1450398010579;1450398010699;120
1;1;24173300;1450398009577;1450398009671;94
1;1;24173300;1450398008573;1450398008671;98
1;1;24173300;1450398007568;1450398007673;105
1;1;24173300;1450398006566;1450398006667;101
1;1;24173300;1450398005560;1450398005651;91
1;1;24173300;1450398004556;1450398004669;113
1;1;24173300;1450398003553;1450398003661;108
1;1;24173300;1450398002557;1450398002666;109
1;1;24173300;1450398001543;1450398001664;121
1;1;24173300;1450398000540;1450398000642;102
1;1;24173301;1450398119018;1450398119099;81
1;1;24173301;1450398118018;1450398118099;81
1;1;24173301;1450398117014;1450398117109;95
1;1;24173301;1450398116009;1450398116113;104
1;1;24173301;1450398115004;1450398115100;96
1;1;24173301;1450398114001;1450398114092;91
1;1;24173301;1450398112996;1450398113090;94
1;1;24173301;1450398111992;1450398112090;98
1;1;24173301;1450398110989;1450398111081;92
1;1;24173301;1450398109984;1450398110075;91
1;1;24173301;1450398108979;1450398109086;107
1;1;24173301;1450398107978;1450398108078;100
1;1;24173301;1450398106977;1450398107063;86
1;1;24173301;1450398105973;1450398106072;99
1;1;24173301;1450398104968;1450398105061;93
1;1;24173301;1450398103964;1450398104064;100
1;1;24173301;1450398102960;1450398103044;84
1;1;24173301;1450398101955;1450398102054;99
1;1;24173301;1450398100951;1450398101051;100
1;1;24173301;1450398099946;1450398100039;93
1;1;24173301;1450398098942;1450398099037;95
1;1;24173301;1450398097937;1450398098044;107
1;1;24173301;1450398096934;1450398097029;95
1;1;24173301;1450398095930;1450398096028;98
1;1;24173301;1450398094926;1450398095018;92
1;1;24173301;1450398093922;1450398094023;101
1;1;24173301;1450398092918;1450398093014;96
1;1;24173301;1450398091913;1450398092008;95
1;1;24173301;1450398090909;1450398091002;93
1;1;24173301;1450398089906;1450398090002;96
1;1;24173301;1450398088901;1450398088986;85
1;1;24173301;1450398087898;1450398087990;92
1;1;24173301;1450398086892;1450398086980;88
1;1;24173301;1450398085888;1450398085981;93
1;1;24173301;1450398084883;1450398084964;81
1;1;24173301;1450398083879;1450398083970;91
1;1;24173301;1450398082876;1450398082967;91
1;1;24173301;1450398081871;1450398081962;91
1;1;24173301;1450398080867;1450398080968;101
1;1;24173301;1450398079864;1450398079960;96
1;1;24173301;1450398078860;1450398078952;92
1;1;24173301;1450398077856;1450398077953;97
1;1;24173301;1450398076851;1450398076944;93
1;1;24173301;1450398075847;1450398075949;102
1;1;24173301;1450398074845;1450398074931;86
1;1;24173301;1450398073842;1450398073942;100
1;1;24173301;1450398072840;1450398072932;92
1;1;24173301;1450398071835;1450398071935;100
1;1;24173301;1450398070831;1450398070930;99
1;1;24173301;1450398069826;1450398069920;94
1;1;24173301;1450398068823;1450398068921;98
1;1;24173301;1450398067819;1450398067910;91
1;1;24173301;1450398066814;1450398066911;97
1;1;24173301;1450398065810;1450398065909;99
1;1;24173301;1450398064805;1450398064891;86
1;1;24173301;1450398063800;1450398063908;108
1;1;24173301;1450398062799;1450398062906;107
1;1;24173301;1450398061795;1450398061892;97
1;1;24173301;1450398060791;1450398060879;88
1;1;24173302;1450398179247;1450398179333;86
1;1;24173302;1450398178242;1450398178340;98
1;1;24173302;1450398177238;1450398177324;86
1;1;24173302;1450398176233;1450398176335;102
1;1;24173302;1450398175230;1450398175312;82
